,City,Nickname,Province,Sex,Signature
0,朝阳,金月,北京,2,
1,海淀,马踏飞燕,北京,1,
2,烟台,彤彤,山东,2,
3,,淹死的仙人掌🌵,,0,
4,,张皓月,北京,2,give me 2 five！
5,,Mona髙,,0,
6,,E教授,Orleans,1,专情一事，随遇而安。5000好友己满，入群交流请加wow2016wow
7,,第一财经商业数据中心,,0,
8,,摩登君,North,2,爱摩登，爱生活。
9,,Zaki柴,,1,
10,,惠新,,0,
11,静安,人间烟火linna,上海,2,
12,连云港,刘成|办公用品，办公家具,江苏,1,。。
13,昌平,李志才,北京,1,
14,,寰宇,,0,
15,,哼唧兽,,2,
16,浦东新区,徐兔妈,上海,2,哼唧兽的好盆友
17,浦东新区,王国成,上海,1,淡泊男儿志 宁静赴红尘
18,朝阳,糖宝0.0,辽宁,2,每天最开心的就是有个懒觉睡
19,烟台,阿童,山东,2,有没有喜欢植物的亲，我发现我养啥都不行，苦恼
20,,徐小🐰,,0,
21,烟台,堃,山东,1,戒烟快乐！
22,烟台,一串铃铛,山东,2,明天会更好
23,烟台,徐春静,山东,2,繁华落尽见真淳。
24,海淀,Dong Jingjing,北京,1,茶鬼
25,,老太太,,0,
26,扬州,太阳雨,江苏,2,亚通阀门
27,烟台,杨华,山东,2,杨华
28,北碚,杨越,重庆,1,Photography has no rules. 
29,闵行,肖文杰,上海,1,
30,,Wendy S,,2,顾諟天之明命
31,,正方体,,2,
32,海淀,王湾,北京,1,The best is yet to come
33,杭州,豪杰,浙江,1,做人要低调、对人要诚信、自信、做事要冷静、耐心、才会有成功！
34,青岛,嗯,山东,2,
35,,LizChow,香港,2,
36,,崔艺馨,,0,
37,珠海,陈新,广东,1,
38,,我是小懒！！,浙江,2,
39,朝阳,李博,北京,1,"stay fool, stay idiot"
40,,张三,,1,
41,朝阳,Aimier,北京,1,沉默是金。
42,烟台,杨毅,山东,1,天天想得开，天天开心快乐！
43,浦东新区,张梦麟HenryIC咖啡孵化投资平台,上海,1,不变不改，不畏不惧，不怨不悔，不忘不弃，不燥不冷.
44,朝阳,沈浩,北京,1,数学与头脑相遇的地方
45,浦东新区,赵庆平,上海,1,我没换手机号码，别信骗子短信
46,朝阳,曲凯,北京,2,亦攻亦受，可萝可御。能文能武，转换自如。男女通吃，老少咸宜。
47,黄浦,刘珍,上海,2,不要匆忙抵达你命中所定之所
48,烟台,言西是首诗,山东,2,在网红的路上越走越远🌝
49,武汉,O度,湖北,2,这个世界唯一不变的是改变。
50,保定,21,河北,1,
51,虹口,lujoy,上海,2,路
52,,Yr丶Kiven,Munich,1,怂了。
53,海淀,魏春元,北京,1,企鹅村的早晨到了！
54,杭州,阿混,浙江,1,不用问在不在，直接说事即可 ||信息回复慢，见谅
55,朝阳,桐⊙o⊙桐,北京,2,克制优越感，即使有资本
56,朝阳,张金,北京,1,
57,,白月,,0,啦啦啦啦永远18岁
58,海淀,宋颖,北京,1,
59,朝阳,朱崇乾@校酷,北京,1,坚持！做好！一件事
60,烟台,王永峰,山东,2,
61,,罗敏纯,Taipei,2,
62,,DT君,,1,"DT君太忙，经常会来不及理你
(此号已满，请加dtcaijing002)"
63,闸北,韩国天使嫁衣礼服馆 客服,上海,2,一辈子一次的婚礼，相信品牌的力量
64,,淘洽洽🐽,上海,2,你必须爱有所及  这是活着的证据
65,长宁,日本-游小萌T1,上海,0,此号人满！加群的亲联系1227148585哦
66,,雲若,,0,你当温柔，却有力量
67,青岛,YUMI,山东,2,
68,虹口,In Shine 婚纱之王-Rella可可,上海,2,深情不及久伴，厚爱无需多言！
69,,Jone,,2,
70,朝阳,黄晨,北京,2,
71,Los Angeles,Clio,California,2,勿忘初心
72,,👿Miss Pessimistic👿 ,,2,"<span class=""emoji emoji1f47f""></span><span class=""emoji emoji1f47f""></span><span class=""emoji emoji1f47f""></span>faith<span class=""emoji emoji1f47f""></span><span class=""emoji emoji1f47f""></span><span class=""emoji emoji1f47f""></span> 做最好的自己"
73,东莞,罗刚君,广东,1,VBA专业开发罗刚君
74,朝阳,始，终。,北京,2,时间静静流淌、生活坦然呈现…
75,朝阳,YXZheng🗻,北京,2,趁丰采
76,朝阳,DC,北京,1,
77,浦东新区,IC咖啡胡运旺,上海,1,IC硬件产业链上下游的社交平台.科技推广平台.创业服务与投资平台
78,闸北,dancingsnoopy,上海,2,
79,卢湾,马玲,上海,2,ELLEMEN睿士&amp;名车志Car and Driver
80,,Cheng,Lyon,1,
81,,任远,北京,1,Artist . Designer . Programmer
82,杨浦,小鱼头Catherine,上海,2,感恩生活
83,朝阳,涓涓细流（li）,北京,0,心在，梦在～
84,普陀,张玮,上海,1,
